config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,dst,min,500000,500000,random,before,0,31.1162,6.48258,14290619282437651446,89088
gcc-release,dst,min,500000,500000,random,after,0,28.9961,5.88746,14290619282437651446,85304
gcc-release,dst,min,500000,500000,random,after,1,26.0244,5.42732,14290619282437651446,85296
gcc-release,dst,min,500000,500000,random,before,1,28.2132,5.68506,14290619282437651446,89192
gcc-release,dst,min,500000,500000,random,before,2,26.9399,5.63332,14290619282437651446,89228
gcc-release,dst,min,500000,500000,random,after,2,25.7302,5.33603,14290619282437651446,85136
gcc-release,dst,min,500000,500000,random,after,3,26.3921,5.28813,14290619282437651446,85248
gcc-release,dst,min,500000,500000,random,before,3,27.3817,6.02905,14290619282437651446,89032
gcc-release,dst,min,500000,500000,random,before,4,27.1187,6.32908,14290619282437651446,89192
gcc-release,dst,min,500000,500000,random,after,4,26.3144,5.2401,14290619282437651446,85264
gcc-release,dst,min,500000,500000,random,after,5,26.7314,5.87744,14290619282437651446,85276
gcc-release,dst,min,500000,500000,random,before,5,27.5779,5.59224,14290619282437651446,89108
gcc-release,dst,min,500000,500000,short,before,0,26.7173,6.21435,8297229813448507998,89172
gcc-release,dst,min,500000,500000,short,after,0,25.6838,5.59903,8297229813448507998,85296
gcc-release,dst,min,500000,500000,short,after,1,25.5038,5.34516,8297229813448507998,85232
gcc-release,dst,min,500000,500000,short,before,1,27.3256,5.48395,8297229813448507998,89172
gcc-release,dst,min,500000,500000,short,before,2,28.2533,5.77603,8297229813448507998,89144
gcc-release,dst,min,500000,500000,short,after,2,25.2507,5.40769,8297229813448507998,85224
gcc-release,dst,min,500000,500000,short,after,3,25.4593,5.59415,8297229813448507998,85208
gcc-release,dst,min,500000,500000,short,before,3,26.4302,5.75537,8297229813448507998,89188
gcc-release,dst,min,500000,500000,short,before,4,25.9553,5.57618,8297229813448507998,89180
gcc-release,dst,min,500000,500000,short,after,4,24.5633,5.16119,8297229813448507998,85252
gcc-release,dst,min,500000,500000,short,after,5,24.6708,5.13155,8297229813448507998,85244
gcc-release,dst,min,500000,500000,short,before,5,26.3564,5.87413,8297229813448507998,89192
gcc-release,dst,min,500000,100,random,before,0,25.8987,0.001933,6510695206153870241,85260
gcc-release,dst,min,500000,100,random,after,0,24.7104,0.001773,6510695206153870241,81372
gcc-release,dst,min,500000,100,random,after,1,25.8311,0.003026,6510695206153870241,81404
gcc-release,dst,min,500000,100,random,before,1,27.614,0.002894,6510695206153870241,85304
gcc-release,dst,min,500000,100,random,before,2,28.3817,0.00257,6510695206153870241,85376
gcc-release,dst,min,500000,100,random,after,2,25.8812,0.002542,6510695206153870241,81404
gcc-release,dst,min,500000,100,random,after,3,25.7784,0.002439,6510695206153870241,81244
gcc-release,dst,min,500000,100,random,before,3,27.6383,0.002542,6510695206153870241,85280
gcc-release,dst,min,500000,100,random,before,4,26.9917,0.002535,6510695206153870241,85144
gcc-release,dst,min,500000,100,random,after,4,25.1433,0.002609,6510695206153870241,81404
gcc-release,dst,min,500000,100,random,after,5,25.2425,0.002194,6510695206153870241,81352
gcc-release,dst,min,500000,100,random,before,5,28.4195,0.002571,6510695206153870241,85280
gcc-release,dst,sum,500000,500000,random,before,0,26.4508,5.26041,17032039528712304763,89200
gcc-release,dst,sum,500000,500000,random,after,0,24.9357,5.56439,17032039528712304763,85296
gcc-release,dst,sum,500000,500000,random,after,1,24.3511,4.94144,17032039528712304763,85276
gcc-release,dst,sum,500000,500000,random,before,1,25.6845,4.73299,17032039528712304763,89192
gcc-release,dst,sum,500000,500000,random,before,2,26.7578,5.65598,17032039528712304763,89112
gcc-release,dst,sum,500000,500000,random,after,2,24.077,5.82314,17032039528712304763,85264
gcc-release,dst,sum,500000,500000,random,after,3,31.4541,5.59926,17032039528712304763,85296
gcc-release,dst,sum,500000,500000,random,before,3,27.5367,5.99527,17032039528712304763,89192
gcc-release,dst,sum,500000,500000,random,before,4,26.2541,5.2062,17032039528712304763,89192
gcc-release,dst,sum,500000,500000,random,after,4,24.511,5.10972,17032039528712304763,85196
gcc-release,dst,sum,500000,500000,random,after,5,24.3936,5.06212,17032039528712304763,85256
gcc-release,dst,sum,500000,500000,random,before,5,26.7532,5.43265,17032039528712304763,89172
gcc-release,dst,sum,500000,500000,short,before,0,26.8472,5.79584,9280008034577550675,89168
gcc-release,dst,sum,500000,500000,short,after,0,24.7934,4.99525,9280008034577550675,85280
gcc-release,dst,sum,500000,500000,short,after,1,24.1866,5.34026,9280008034577550675,85264
gcc-release,dst,sum,500000,500000,short,before,1,26.3417,5.91268,9280008034577550675,89172
gcc-release,dst,sum,500000,500000,short,before,2,26.6008,5.53238,9280008034577550675,89148
gcc-release,dst,sum,500000,500000,short,after,2,24.8047,5.60268,9280008034577550675,85288
gcc-release,dst,sum,500000,500000,short,after,3,24.3347,4.94501,9280008034577550675,85252
gcc-release,dst,sum,500000,500000,short,before,3,26.442,5.81893,9280008034577550675,89024
gcc-release,dst,sum,500000,500000,short,before,4,27.7689,6.11602,9280008034577550675,89152
gcc-release,dst,sum,500000,500000,short,after,4,26.7717,5.81111,9280008034577550675,85296
gcc-release,dst,sum,500000,500000,short,after,5,26.701,5.53071,9280008034577550675,85256
gcc-release,dst,sum,500000,500000,short,before,5,28.9397,6.4925,9280008034577550675,89180
gcc-release,dst,sum,500000,100,random,before,0,27.9027,0.003222,1600832139740968335,85260
gcc-release,dst,sum,500000,100,random,after,0,25.9324,0.003108,1600832139740968335,81404
gcc-release,dst,sum,500000,100,random,after,1,26.8819,0.002923,1600832139740968335,81392
gcc-release,dst,sum,500000,100,random,before,1,28.5581,0.00381,1600832139740968335,85256
gcc-release,dst,sum,500000,100,random,before,2,28.2241,0.003623,1600832139740968335,85300
gcc-release,dst,sum,500000,100,random,after,2,25.7898,0.002104,1600832139740968335,81404
gcc-release,dst,sum,500000,100,random,after,3,25.284,0.003561,1600832139740968335,81376
gcc-release,dst,sum,500000,100,random,before,3,28.1184,0.003282,1600832139740968335,85296
