config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,linear,min,500000,500000,random,before,0,6.42871,16.9342,18090683972228591405,20320
gcc-release,linear,min,500000,500000,random,after,0,5.48775,11.3652,18090683972228591405,18504
gcc-release,linear,min,500000,500000,random,after,1,5.47623,12.2191,18090683972228591405,18504
gcc-release,linear,min,500000,500000,random,before,1,6.43619,16.0523,18090683972228591405,20364
gcc-release,linear,min,500000,500000,random,before,2,6.2585,17.4092,18090683972228591405,20608
gcc-release,linear,min,500000,500000,random,after,2,5.31814,11.9465,18090683972228591405,18488
gcc-release,linear,min,500000,500000,random,after,3,5.45474,11.7438,18090683972228591405,18536
gcc-release,linear,min,500000,500000,random,before,3,5.9791,16.8099,18090683972228591405,20372
gcc-release,linear,min,500000,500000,random,before,4,6.76851,15.6251,18090683972228591405,20376
gcc-release,linear,min,500000,500000,random,after,4,5.40051,11.6437,18090683972228591405,18572
gcc-release,linear,min,500000,500000,random,after,5,6.08032,12.7384,18090683972228591405,18612
gcc-release,linear,min,500000,500000,random,before,5,5.99011,15.1479,18090683972228591405,20388
gcc-release,linear,min,500000,500000,short,before,0,6.03599,8.9962,5444751125772734940,20372
gcc-release,linear,min,500000,500000,short,after,0,5.47113,4.169,5444751125772734940,18604
gcc-release,linear,min,500000,500000,short,after,1,5.37141,3.52432,5444751125772734940,18512
gcc-release,linear,min,500000,500000,short,before,1,6.53746,8.67043,5444751125772734940,20604
gcc-release,linear,min,500000,500000,short,before,2,6.12923,8.82425,5444751125772734940,20524
gcc-release,linear,min,500000,500000,short,after,2,5.52742,4.15089,5444751125772734940,18560
gcc-release,linear,min,500000,500000,short,after,3,5.43178,3.88937,5444751125772734940,18532
gcc-release,linear,min,500000,500000,short,before,3,6.35743,8.98278,5444751125772734940,20408
gcc-release,linear,min,500000,500000,short,before,4,5.98022,8.57367,5444751125772734940,20488
gcc-release,linear,min,500000,500000,short,after,4,5.88042,4.1875,5444751125772734940,18516
gcc-release,linear,min,500000,500000,short,after,5,5.43408,3.96007,5444751125772734940,18612
gcc-release,linear,min,500000,500000,short,before,5,6.41268,8.69084,5444751125772734940,20496
