config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,linear,min,500000,500000,random,before,0,6.47605,14.8021,18090683972228591405,20420
gcc-release,linear,min,500000,500000,random,after,0,5.68346,9.25569,18090683972228591405,18376
gcc-release,linear,min,500000,500000,random,after,1,5.54815,8.92352,18090683972228591405,18616
gcc-release,linear,min,500000,500000,random,before,1,6.26431,16.7042,18090683972228591405,20432
gcc-release,linear,min,500000,500000,random,before,2,6.11515,14.9973,18090683972228591405,20444
gcc-release,linear,min,500000,500000,random,after,2,5.40791,9.23564,18090683972228591405,18604
gcc-release,linear,min,500000,500000,random,after,3,5.877,9.74058,18090683972228591405,18572
gcc-release,linear,min,500000,500000,random,before,3,6.42847,16.2074,18090683972228591405,20404
gcc-release,linear,min,500000,500000,random,before,4,6.39385,16.9112,18090683972228591405,20372
gcc-release,linear,min,500000,500000,random,after,4,5.53233,8.54539,18090683972228591405,18520
gcc-release,linear,min,500000,500000,random,after,5,5.44436,8.69519,18090683972228591405,18680
gcc-release,linear,min,500000,500000,random,before,5,6.32554,16.3761,18090683972228591405,20532
gcc-release,linear,min,500000,500000,short,before,0,6.26998,8.75699,5444751125772734940,20368
gcc-release,linear,min,500000,500000,short,after,0,5.59058,3.66856,5444751125772734940,18544
gcc-release,linear,min,500000,500000,short,after,1,5.57719,3.81603,5444751125772734940,18532
gcc-release,linear,min,500000,500000,short,before,1,6.45943,9.68537,5444751125772734940,20528
gcc-release,linear,min,500000,500000,short,before,2,6.67683,9.25681,5444751125772734940,20484
gcc-release,linear,min,500000,500000,short,after,2,5.4571,3.31481,5444751125772734940,18448
gcc-release,linear,min,500000,500000,short,after,3,5.40888,4.05886,5444751125772734940,18536
gcc-release,linear,min,500000,500000,short,before,3,6.19908,8.88708,5444751125772734940,20412
gcc-release,linear,min,500000,500000,short,before,4,6.1219,8.92184,5444751125772734940,20368
gcc-release,linear,min,500000,500000,short,after,4,5.47574,4.01584,5444751125772734940,18492
gcc-release,linear,min,500000,500000,short,after,5,5.35649,3.34316,5444751125772734940,18512
gcc-release,linear,min,500000,500000,short,before,5,6.32822,9.34756,5444751125772734940,20608
gcc-release,linear,min,500000,500000,equal,before,0,4.00748,9.5845,3454424156253527828,20528
gcc-release,linear,min,500000,500000,equal,after,0,3.2321,7.32519,3454424156253527828,18540
gcc-release,linear,min,500000,500000,equal,after,1,3.44009,7.79548,3454424156253527828,18496
gcc-release,linear,min,500000,500000,equal,before,1,3.78101,9.73055,3454424156253527828,20444
gcc-release,linear,min,500000,500000,equal,before,2,3.45979,8.75426,3454424156253527828,20348
gcc-release,linear,min,500000,500000,equal,after,2,3.49118,7.21435,3454424156253527828,18552
gcc-release,linear,min,500000,500000,equal,after,3,3.63717,7.29951,3454424156253527828,18600
gcc-release,linear,min,500000,500000,equal,before,3,3.76975,9.90193,3454424156253527828,20492
gcc-release,linear,min,500000,500000,equal,before,4,4.24014,9.77237,3454424156253527828,20416
gcc-release,linear,min,500000,500000,equal,after,4,2.97032,6.92374,3454424156253527828,18564
gcc-release,linear,min,500000,500000,equal,after,5,3.29154,7.58451,3454424156253527828,18604
gcc-release,linear,min,500000,500000,equal,before,5,4.06404,9.93487,3454424156253527828,20344
gcc-release,linear,min,500000,500000,ascending,before,0,4.41445,9.65144,3454424156253527828,20416
gcc-release,linear,min,500000,500000,ascending,after,0,3.4151,7.62222,3454424156253527828,18536
gcc-release,linear,min,500000,500000,ascending,after,1,3.26658,8.05954,3454424156253527828,18436
gcc-release,linear,min,500000,500000,ascending,before,1,4.49162,10.5092,3454424156253527828,20420
gcc-release,linear,min,500000,500000,ascending,before,2,3.86265,9.59042,3454424156253527828,20416
gcc-release,linear,min,500000,500000,ascending,after,2,3.10048,7.71455,3454424156253527828,18500
gcc-release,linear,min,500000,500000,ascending,after,3,3.30476,7.36955,3454424156253527828,18528
gcc-release,linear,min,500000,500000,ascending,before,3,3.83589,9.30081,3454424156253527828,20372
gcc-release,linear,min,500000,500000,ascending,before,4,4.28784,9.51745,3454424156253527828,20348
gcc-release,linear,min,500000,500000,ascending,after,4,3.34544,8.46358,3454424156253527828,18504
gcc-release,linear,min,500000,500000,ascending,after,5,3.89124,8.5254,3454424156253527828,18536
