config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,sqrt,min,500000,500000,random,before,0,22.0287,6.30853,14290619282437651446,81048
gcc-release,sqrt,min,500000,500000,random,after,0,13.7108,5.90599,14290619282437651446,66256
gcc-release,sqrt,min,500000,500000,random,after,1,13.6506,5.658,14290619282437651446,66296
gcc-release,sqrt,min,500000,500000,random,before,1,16.592,5.8846,14290619282437651446,80876
gcc-release,sqrt,min,500000,500000,random,before,2,18.5822,7.22985,14290619282437651446,82388
gcc-release,sqrt,min,500000,500000,random,after,2,14.1912,6.73,14290619282437651446,66296
gcc-release,sqrt,min,500000,500000,random,after,3,14.5047,6.42093,14290619282437651446,66208
gcc-release,sqrt,min,500000,500000,random,before,3,18.584,6.58646,14290619282437651446,82284
gcc-release,sqrt,min,500000,500000,random,before,4,18.5237,7.06457,14290619282437651446,81104
gcc-release,sqrt,min,500000,500000,random,after,4,13.8985,6.63096,14290619282437651446,66256
gcc-release,sqrt,min,500000,500000,random,after,5,14.0971,6.82798,14290619282437651446,66256
gcc-release,sqrt,min,500000,500000,random,before,5,18.2482,6.72484,14290619282437651446,82208
gcc-release,sqrt,min,500000,500000,short,before,0,18.9875,9.2377,8297229813448507998,82208
gcc-release,sqrt,min,500000,500000,short,after,0,14.1831,8.8187,8297229813448507998,66252
gcc-release,sqrt,min,500000,500000,short,after,1,14.0159,8.26238,8297229813448507998,66208
gcc-release,sqrt,min,500000,500000,short,before,1,18.5338,9.01132,8297229813448507998,81424
gcc-release,sqrt,min,500000,500000,short,before,2,17.3611,8.82567,8297229813448507998,80480
gcc-release,sqrt,min,500000,500000,short,after,2,14.7418,9.00722,8297229813448507998,66300
gcc-release,sqrt,min,500000,500000,short,after,3,13.99,8.37146,8297229813448507998,66388
gcc-release,sqrt,min,500000,500000,short,before,3,17.4169,8.79758,8297229813448507998,80784
gcc-release,sqrt,min,500000,500000,short,before,4,17.5799,8.60087,8297229813448507998,82176
gcc-release,sqrt,min,500000,500000,short,after,4,13.8372,8.68784,8297229813448507998,66256
gcc-release,sqrt,min,500000,500000,short,after,5,13.9808,8.86709,8297229813448507998,66376
gcc-release,sqrt,min,500000,500000,short,before,5,18.248,9.52741,8297229813448507998,82120
gcc-release,sqrt,min,500000,100,random,before,0,18.235,0.00531,6510695206153870241,77268
gcc-release,sqrt,min,500000,100,random,after,0,14.1928,0.005221,6510695206153870241,62244
gcc-release,sqrt,min,500000,100,random,after,1,13.9995,0.00658,6510695206153870241,62364
gcc-release,sqrt,min,500000,100,random,before,1,18.9753,0.006272,6510695206153870241,78160
gcc-release,sqrt,min,500000,100,random,before,2,18.2242,0.007003,6510695206153870241,78316
gcc-release,sqrt,min,500000,100,random,after,2,14.3704,0.006245,6510695206153870241,62384
gcc-release,sqrt,min,500000,100,random,after,3,14.7936,0.006312,6510695206153870241,62248
gcc-release,sqrt,min,500000,100,random,before,3,17.7014,0.006676,6510695206153870241,78360
gcc-release,sqrt,min,500000,100,random,before,4,17.6688,0.005696,6510695206153870241,77572
gcc-release,sqrt,min,500000,100,random,after,4,14.3208,0.004908,6510695206153870241,62228
gcc-release,sqrt,min,500000,100,random,after,5,13.6594,0.005347,6510695206153870241,62404
gcc-release,sqrt,min,500000,100,random,before,5,17.7355,0.005352,6510695206153870241,77204
gcc-release,sqrt,sum,500000,500000,random,before,0,16.9266,5.68973,17032039528712304763,81292
gcc-release,sqrt,sum,500000,500000,random,after,0,13.4774,5.8978,17032039528712304763,66304
gcc-release,sqrt,sum,500000,500000,random,after,1,13.2259,5.61265,17032039528712304763,66336
gcc-release,sqrt,sum,500000,500000,random,before,1,17.0913,6.1281,17032039528712304763,81452
gcc-release,sqrt,sum,500000,500000,random,before,2,17.6676,7.13148,17032039528712304763,81428
gcc-release,sqrt,sum,500000,500000,random,after,2,13.3741,5.72257,17032039528712304763,66304
gcc-release,sqrt,sum,500000,500000,random,after,3,13.0054,5.96847,17032039528712304763,66300
gcc-release,sqrt,sum,500000,500000,random,before,3,24.4309,6.12807,17032039528712304763,82528
gcc-release,sqrt,sum,500000,500000,random,before,4,17.1149,5.68982,17032039528712304763,81252
gcc-release,sqrt,sum,500000,500000,random,after,4,13.2793,5.66836,17032039528712304763,66284
gcc-release,sqrt,sum,500000,500000,random,after,5,13.0618,5.60055,17032039528712304763,66304
gcc-release,sqrt,sum,500000,500000,random,before,5,17.1595,5.70275,17032039528712304763,81916
gcc-release,sqrt,sum,500000,500000,short,before,0,16.3672,7.71009,9280008034577550675,81448
gcc-release,sqrt,sum,500000,500000,short,after,0,14.0043,7.91842,9280008034577550675,66372
gcc-release,sqrt,sum,500000,500000,short,after,1,13.7937,7.76123,9280008034577550675,66360
gcc-release,sqrt,sum,500000,500000,short,before,1,16.9258,8.66862,9280008034577550675,80656
gcc-release,sqrt,sum,500000,500000,short,before,2,17.4841,8.80596,9280008034577550675,80448
gcc-release,sqrt,sum,500000,500000,short,after,2,13.6184,7.55666,9280008034577550675,66300
gcc-release,sqrt,sum,500000,500000,short,after,3,13.7095,7.52535,9280008034577550675,66320
gcc-release,sqrt,sum,500000,500000,short,before,3,17.2531,8.03258,9280008034577550675,81496
gcc-release,sqrt,sum,500000,500000,short,before,4,17.9035,9.09743,9280008034577550675,80584
gcc-release,sqrt,sum,500000,500000,short,after,4,14.1658,7.95442,9280008034577550675,66296
gcc-release,sqrt,sum,500000,500000,short,after,5,13.6381,8.0833,9280008034577550675,66284
gcc-release,sqrt,sum,500000,500000,short,before,5,17.2615,8.18537,9280008034577550675,80728
gcc-release,sqrt,sum,500000,100,random,before,0,17.2656,0.005628,1600832139740968335,77320
gcc-release,sqrt,sum,500000,100,random,after,0,13.5059,0.004859,1600832139740968335,62360
gcc-release,sqrt,sum,500000,100,random,after,1,14.8642,0.005263,1600832139740968335,62360
gcc-release,sqrt,sum,500000,100,random,before,1,17.0777,0.005784,1600832139740968335,77496
gcc-release,sqrt,sum,500000,100,random,before,2,17.5041,0.006199,1600832139740968335,77204
gcc-release,sqrt,sum,500000,100,random,after,2,13.3187,0.005035,1600832139740968335,62384
gcc-release,sqrt,sum,500000,100,random,after,3,13.0926,0.005178,1600832139740968335,62404
gcc-release,sqrt,sum,500000,100,random,before,3,17.2745,0.006076,1600832139740968335,76576
gcc-release,sqrt,sum,500000,100,random,before,4,17.4705,0.005542,1600832139740968335,76800
gcc-release,sqrt,sum,500000,100,random,after,4,14.3784,0.005046,1600832139740968335,62316
gcc-release,sqrt,sum,500000,100,random,after,5,13.9036,0.005495,1600832139740968335,62480
gcc-release,sqrt,sum,500000,100,random,before,5,17.5885,0.005856,1600832139740968335,76736
gcc-release,sqrt,affine,500000,500000,random,before,0,45.9261,12.0283,11025557265200150944,157768
gcc-release,sqrt,affine,500000,500000,random,after,0,24.463,11.6953,11025557265200150944,129104
gcc-release,sqrt,affine,500000,500000,random,after,1,38.1338,10.6091,11025557265200150944,129260
gcc-release,sqrt,affine,500000,500000,random,before,1,34.0474,9.70388,11025557265200150944,159112
gcc-release,sqrt,affine,500000,500000,random,before,2,28.1906,10.0997,11025557265200150944,158520
gcc-release,sqrt,affine,500000,500000,random,after,2,21.5974,9.62018,11025557265200150944,129436
gcc-release,sqrt,affine,500000,500000,random,after,3,22.6617,11.9413,11025557265200150944,129464
gcc-release,sqrt,affine,500000,500000,random,before,3,31.1101,10.3548,11025557265200150944,157980
gcc-release,sqrt,affine,500000,500000,random,before,4,30.1351,10.9476,11025557265200150944,158668
gcc-release,sqrt,affine,500000,500000,random,after,4,23.1127,10.7253,11025557265200150944,129456
gcc-release,sqrt,affine,500000,500000,random,after,5,22.4094,10.85,11025557265200150944,129232
gcc-release,sqrt,affine,500000,500000,random,before,5,29.2004,10.4852,11025557265200150944,157836
gcc-release,sqrt,affine,500000,500000,short,before,0,29.992,10.7735,17278716764487211200,159232
gcc-release,sqrt,affine,500000,500000,short,after,0,22.7402,10.4721,17278716764487211200,129436
gcc-release,sqrt,affine,500000,500000,short,after,1,22.4111,10.8175,17278716764487211200,129416
gcc-release,sqrt,affine,500000,500000,short,before,1,31.6733,11.8531,17278716764487211200,158472
gcc-release,sqrt,affine,500000,500000,short,before,2,29.7729,10.5887,17278716764487211200,159232
gcc-release,sqrt,affine,500000,500000,short,after,2,24.1397,10.82,17278716764487211200,129104
gcc-release,sqrt,affine,500000,500000,short,after,3,25.2892,12.2664,17278716764487211200,129268
gcc-release,sqrt,affine,500000,500000,short,before,3,30.9052,11.4951,17278716764487211200,158540
gcc-release,sqrt,affine,500000,500000,short,before,4,31.1649,11.0648,17278716764487211200,159452
gcc-release,sqrt,affine,500000,500000,short,after,4,25.6297,11.2912,17278716764487211200,129284
gcc-release,sqrt,affine,500000,500000,short,after,5,23.0753,11.735,17278716764487211200,129168
gcc-release,sqrt,affine,500000,500000,short,before,5,32.9065,11.1517,17278716764487211200,158536
gcc-release,sqrt,affine,500000,100,random,before,0,30.8991,0.006803,17756240319959167362,154092
gcc-release,sqrt,affine,500000,100,random,after,0,24.0932,0.008032,17756240319959167362,125524
gcc-release,sqrt,affine,500000,100,random,after,1,22.6398,0.005813,17756240319959167362,125568
gcc-release,sqrt,affine,500000,100,random,before,1,31.3282,0.006857,17756240319959167362,155456
gcc-release,sqrt,affine,500000,100,random,before,2,29.8156,0.0072,17756240319959167362,155696
gcc-release,sqrt,affine,500000,100,random,after,2,34.6516,0.006452,17756240319959167362,125568
gcc-release,sqrt,affine,500000,100,random,after,3,21.7025,0.006292,17756240319959167362,125536
gcc-release,sqrt,affine,500000,100,random,before,3,35.9253,0.006701,17756240319959167362,155692
gcc-release,sqrt,affine,500000,100,random,before,4,31.8431,0.006852,17756240319959167362,155760
gcc-release,sqrt,affine,500000,100,random,after,4,21.8036,0.006991,17756240319959167362,125548
gcc-release,sqrt,affine,500000,100,random,after,5,23.6411,0.00586,17756240319959167362,125208
gcc-release,sqrt,affine,500000,100,random,before,5,32.4187,0.00912,17756240319959167362,155776
gcc-release,sqrt,matrix,500000,500000,random,before,0,85.3097,19.9631,12536137626927728898,306020
gcc-release,sqrt,matrix,500000,500000,random,after,0,47.5452,19.9954,12536137626927728898,248092
gcc-release,sqrt,matrix,500000,500000,random,after,1,46.2587,18.9049,12536137626927728898,247668
gcc-release,sqrt,matrix,500000,500000,random,before,1,55.0942,18.6615,12536137626927728898,305028
gcc-release,sqrt,matrix,500000,500000,random,before,2,60.6419,19.6688,12536137626927728898,304460
gcc-release,sqrt,matrix,500000,500000,random,after,2,46.7005,19.7394,12536137626927728898,248128
gcc-release,sqrt,matrix,500000,500000,random,after,3,50.8457,19.7254,12536137626927728898,248072
gcc-release,sqrt,matrix,500000,500000,random,before,3,55.6765,18.9029,12536137626927728898,305276
gcc-release,sqrt,matrix,500000,500000,random,before,4,57.4009,18.6315,12536137626927728898,304356
gcc-release,sqrt,matrix,500000,500000,random,after,4,47.0464,19.8704,12536137626927728898,247716
gcc-release,sqrt,matrix,500000,500000,random,after,5,48.3455,19.8709,12536137626927728898,247980
gcc-release,sqrt,matrix,500000,500000,random,before,5,56.6458,18.3457,12536137626927728898,305580
gcc-release,sqrt,matrix,500000,500000,short,before,0,60.5507,17.0217,16579006819884432526,305728
gcc-release,sqrt,matrix,500000,500000,short,after,0,45.2996,17.3219,16579006819884432526,247688
gcc-release,sqrt,matrix,500000,500000,short,after,1,42.0513,15.4334,16579006819884432526,247988
gcc-release,sqrt,matrix,500000,500000,short,before,1,62.2591,15.8541,16579006819884432526,306284
gcc-release,sqrt,matrix,500000,500000,short,before,2,52.0919,15.6475,16579006819884432526,306428
gcc-release,sqrt,matrix,500000,500000,short,after,2,41.2657,16.3156,16579006819884432526,247704
gcc-release,sqrt,matrix,500000,500000,short,after,3,45.1717,17.9213,16579006819884432526,248116
gcc-release,sqrt,matrix,500000,500000,short,before,3,55.9226,16.4805,16579006819884432526,306224
gcc-release,sqrt,matrix,500000,500000,short,before,4,55.2847,17.4452,16579006819884432526,305072
gcc-release,sqrt,matrix,500000,500000,short,after,4,44.7807,16.2659,16579006819884432526,248052
gcc-release,sqrt,matrix,500000,500000,short,after,5,47.7931,16.7006,16579006819884432526,248080
gcc-release,sqrt,matrix,500000,500000,short,before,5,58.3857,16.6831,16579006819884432526,305120
