config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,sqrt,matrix,500000,500000,random,before,0,96.088,17.8517,12536137626927728898,305720
gcc-release,sqrt,matrix,500000,500000,random,after,0,47.9642,19.8005,12536137626927728898,248060
gcc-release,sqrt,matrix,500000,500000,random,after,1,49.2826,20.7566,12536137626927728898,248032
gcc-release,sqrt,matrix,500000,500000,random,before,1,64.8902,20.3401,12536137626927728898,304584
gcc-release,sqrt,matrix,500000,500000,random,before,2,62.07,18.7116,12536137626927728898,306368
gcc-release,sqrt,matrix,500000,500000,random,after,2,46.0447,18.843,12536137626927728898,247716
gcc-release,sqrt,matrix,500000,500000,random,after,3,49.6226,22.3746,12536137626927728898,248116
gcc-release,sqrt,matrix,500000,500000,random,before,3,59.9635,18.2866,12536137626927728898,304516
gcc-release,sqrt,matrix,500000,500000,random,before,4,57.4984,19.2934,12536137626927728898,304580
gcc-release,sqrt,matrix,500000,500000,random,after,4,50.6618,20.5933,12536137626927728898,247748
gcc-release,sqrt,matrix,500000,500000,random,after,5,46.168,20.7182,12536137626927728898,248104
gcc-release,sqrt,matrix,500000,500000,random,before,5,59.9014,18.5549,12536137626927728898,304484
gcc-release,sqrt,matrix,500000,5000000,random,before,0,63.3589,187.009,3286936630340984760,340268
gcc-release,sqrt,matrix,500000,5000000,random,after,0,44.9622,175.313,3286936630340984760,282756
gcc-release,sqrt,matrix,500000,5000000,random,after,1,43.2381,154.222,3286936630340984760,282720
gcc-release,sqrt,matrix,500000,5000000,random,before,1,63.9333,194.701,3286936630340984760,341452
gcc-release,sqrt,matrix,500000,5000000,random,before,2,53.7217,209.236,3286936630340984760,341484
gcc-release,sqrt,matrix,500000,5000000,random,after,2,53.4459,234.965,3286936630340984760,282716
gcc-release,sqrt,matrix,500000,5000000,random,after,3,52.6901,233.848,3286936630340984760,282772
gcc-release,sqrt,matrix,500000,5000000,random,before,3,85.8457,233.714,3286936630340984760,340572
gcc-release,sqrt,matrix,500000,5000000,random,before,4,66.1058,233.993,3286936630340984760,341648
gcc-release,sqrt,matrix,500000,5000000,random,after,4,53.3715,241.892,3286936630340984760,282780
gcc-release,sqrt,matrix,500000,5000000,random,after,5,51.2456,236.318,3286936630340984760,282736
gcc-release,sqrt,matrix,500000,5000000,random,before,5,67.0522,234.508,3286936630340984760,340092
gcc-release,sqrt,min,524289,500000,random,before,0,36.7901,9.89063,5432412596779352430,146452
gcc-release,sqrt,min,524289,500000,random,after,0,17.4726,10.0357,5432412596779352430,80820
gcc-release,sqrt,min,524289,500000,random,after,1,17.3306,8.45533,5432412596779352430,80868
gcc-release,sqrt,min,524289,500000,random,before,1,38.1633,10.2436,5432412596779352430,146456
gcc-release,sqrt,min,524289,500000,random,before,2,37.6608,9.57527,5432412596779352430,146436
gcc-release,sqrt,min,524289,500000,random,after,2,18.09,9.51412,5432412596779352430,80828
gcc-release,sqrt,min,524289,500000,random,after,3,17.4697,10.4049,5432412596779352430,80832
gcc-release,sqrt,min,524289,500000,random,before,3,38.7793,9.97951,5432412596779352430,146460
gcc-release,sqrt,min,524289,500000,random,before,4,36.4043,10.107,5432412596779352430,146356
gcc-release,sqrt,min,524289,500000,random,after,4,17.7716,10.0748,5432412596779352430,80836
gcc-release,sqrt,min,524289,500000,random,after,5,17.4939,10.6982,5432412596779352430,80948
gcc-release,sqrt,min,524289,500000,random,before,5,37.0852,9.87652,5432412596779352430,146432
gcc-release,sqrt,min,524289,5000000,random,before,0,37.7855,86.3683,17049764280524147678,181576
gcc-release,sqrt,min,524289,5000000,random,after,0,15.1637,38.0037,17049764280524147678,116260
gcc-release,sqrt,min,524289,5000000,random,after,1,15.6147,47.3448,17049764280524147678,116224
gcc-release,sqrt,min,524289,5000000,random,before,1,33.8365,47.8886,17049764280524147678,181568
gcc-release,sqrt,min,524289,5000000,random,before,2,33.2727,49.4684,17049764280524147678,181608
gcc-release,sqrt,min,524289,5000000,random,after,2,15.5151,46.7862,17049764280524147678,116160
gcc-release,sqrt,min,524289,5000000,random,after,3,15.8963,41.5299,17049764280524147678,116256
gcc-release,sqrt,min,524289,5000000,random,before,3,30.8799,46.0496,17049764280524147678,181608
gcc-release,sqrt,min,524289,5000000,random,before,4,32.3857,46.9713,17049764280524147678,181564
gcc-release,sqrt,min,524289,5000000,random,after,4,15.5169,45.0282,17049764280524147678,116224
gcc-release,sqrt,min,524289,5000000,random,after,5,15.7316,59.7167,17049764280524147678,116148
gcc-release,sqrt,min,524289,5000000,random,before,5,37.8842,46.3384,17049764280524147678,181568
clang-release,sqrt,matrix,500000,500000,random,before,0,97.8689,18.2674,12536137626927728898,305692
clang-release,sqrt,matrix,500000,500000,random,after,0,50.5973,20.2171,12536137626927728898,247720
clang-release,sqrt,matrix,500000,500000,random,after,1,48.8686,20.7015,12536137626927728898,247752
clang-release,sqrt,matrix,500000,500000,random,before,1,59.3954,19.8412,12536137626927728898,305568
clang-release,sqrt,matrix,500000,500000,random,before,2,58.0089,18.8246,12536137626927728898,305844
clang-release,sqrt,matrix,500000,500000,random,after,2,48.7527,16.6006,12536137626927728898,248004
clang-release,sqrt,matrix,500000,500000,random,after,3,47.2779,19.0123,12536137626927728898,247944
clang-release,sqrt,matrix,500000,500000,random,before,3,58.1898,18.611,12536137626927728898,304936
clang-release,sqrt,matrix,500000,500000,random,before,4,60.9511,19.5222,12536137626927728898,306344
clang-release,sqrt,matrix,500000,500000,random,after,4,47.9997,17.1344,12536137626927728898,247992
clang-release,sqrt,matrix,500000,500000,random,after,5,47.0584,19.4985,12536137626927728898,247996
clang-release,sqrt,matrix,500000,500000,random,before,5,61.09,20.4,12536137626927728898,304532
clang-release,sqrt,matrix,500000,5000000,random,before,0,65.5822,181.646,3286936630340984760,339980
clang-release,sqrt,matrix,500000,5000000,random,after,0,56.7509,188.106,3286936630340984760,282724
clang-release,sqrt,matrix,500000,5000000,random,after,1,45.9643,165.481,3286936630340984760,282720
clang-release,sqrt,matrix,500000,5000000,random,before,1,72.2365,186.621,3286936630340984760,340372
clang-release,sqrt,matrix,500000,5000000,random,before,2,60.459,185.751,3286936630340984760,340604
clang-release,sqrt,matrix,500000,5000000,random,after,2,48.8226,185.013,3286936630340984760,282736
clang-release,sqrt,matrix,500000,5000000,random,after,3,48.4866,184.902,3286936630340984760,282832
clang-release,sqrt,matrix,500000,5000000,random,before,3,59.2637,185.633,3286936630340984760,340192
clang-release,sqrt,matrix,500000,5000000,random,before,4,61.3303,168.599,3286936630340984760,340040
clang-release,sqrt,matrix,500000,5000000,random,after,4,45.7828,165.899,3286936630340984760,282792
clang-release,sqrt,matrix,500000,5000000,random,after,5,52.6841,183.493,3286936630340984760,282764
clang-release,sqrt,matrix,500000,5000000,random,before,5,62.8079,206.484,3286936630340984760,340200
clang-release,sqrt,min,524289,500000,random,before,0,34.0201,6.72127,5432412596779352430,146428
clang-release,sqrt,min,524289,500000,random,after,0,16.5024,6.87692,5432412596779352430,80832
clang-release,sqrt,min,524289,500000,random,after,1,17.2162,8.46209,5432412596779352430,80792
clang-release,sqrt,min,524289,500000,random,before,1,34.5373,7.21904,5432412596779352430,146484
clang-release,sqrt,min,524289,500000,random,before,2,32.2281,7.12123,5432412596779352430,146380
clang-release,sqrt,min,524289,500000,random,after,2,16.6304,9.19122,5432412596779352430,80868
clang-release,sqrt,min,524289,500000,random,after,3,17.2985,8.19556,5432412596779352430,80716
clang-release,sqrt,min,524289,500000,random,before,3,35.0174,7.73482,5432412596779352430,146516
clang-release,sqrt,min,524289,500000,random,before,4,35.4388,7.97299,5432412596779352430,146420
clang-release,sqrt,min,524289,500000,random,after,4,17.5064,7.30282,5432412596779352430,80856
clang-release,sqrt,min,524289,500000,random,after,5,17.5395,8.71365,5432412596779352430,80772
clang-release,sqrt,min,524289,500000,random,before,5,31.9399,6.45396,5432412596779352430,146464
clang-release,sqrt,min,524289,5000000,random,before,0,32.8673,46.2297,17049764280524147678,181584
clang-release,sqrt,min,524289,5000000,random,after,0,18.4571,52.1813,17049764280524147678,116120
clang-release,sqrt,min,524289,5000000,random,after,1,16.1702,42.2358,17049764280524147678,116284
clang-release,sqrt,min,524289,5000000,random,before,1,32.6797,47.1726,17049764280524147678,181588
clang-release,sqrt,min,524289,5000000,random,before,2,29.5,46.7658,17049764280524147678,181560
clang-release,sqrt,min,524289,5000000,random,after,2,16.3908,44.2856,17049764280524147678,116288
clang-release,sqrt,min,524289,5000000,random,after,3,15.9077,49.9333,17049764280524147678,116144
clang-release,sqrt,min,524289,5000000,random,before,3,31.5329,43.7953,17049764280524147678,181616
clang-release,sqrt,min,524289,5000000,random,before,4,33.2335,55.9711,17049764280524147678,181464
clang-release,sqrt,min,524289,5000000,random,after,4,16.8899,44.6692,17049764280524147678,116144
clang-release,sqrt,min,524289,5000000,random,after,5,16.7723,45.1496,17049764280524147678,116132
clang-release,sqrt,min,524289,5000000,random,before,5,33.2699,52.4674,17049764280524147678,181612
gcc-assert,sqrt,matrix,500000,500000,random,before,0,118.083,17.4999,12536137626927728898,306104
gcc-assert,sqrt,matrix,500000,500000,random,after,0,43.1378,17.6058,12536137626927728898,247940
gcc-assert,sqrt,matrix,500000,500000,random,after,1,42.7752,17.6803,12536137626927728898,247900
gcc-assert,sqrt,matrix,500000,500000,random,before,1,54.3905,18.1322,12536137626927728898,304908
gcc-assert,sqrt,matrix,500000,500000,random,before,2,55.6425,20.1222,12536137626927728898,305224
gcc-assert,sqrt,matrix,500000,500000,random,after,2,45.5558,21.9383,12536137626927728898,247704
