config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,sqrt,min,524289,500000,random,before,0,52.0407,6.91271,5432412596779352430,146408
gcc-release,sqrt,min,524289,500000,random,after,0,15.9958,8.13533,5432412596779352430,80764
gcc-release,sqrt,min,524289,500000,random,after,1,15.7069,6.77488,5432412596779352430,80892
gcc-release,sqrt,min,524289,500000,random,before,1,31.5009,8.79945,5432412596779352430,146384
gcc-release,sqrt,min,524289,500000,random,before,2,33.0695,6.50061,5432412596779352430,146448
gcc-release,sqrt,min,524289,500000,random,after,2,17.4792,6.70142,5432412596779352430,80824
gcc-release,sqrt,min,524289,500000,random,after,3,15.251,6.79918,5432412596779352430,80836
gcc-release,sqrt,min,524289,500000,random,before,3,32.5092,7.3857,5432412596779352430,146536
gcc-release,sqrt,min,524289,500000,random,before,4,31.5912,6.69835,5432412596779352430,146432
gcc-release,sqrt,min,524289,500000,random,after,4,15.595,6.26873,5432412596779352430,80820
gcc-release,sqrt,min,524289,500000,random,after,5,15.2997,5.80424,5432412596779352430,80780
gcc-release,sqrt,min,524289,500000,random,before,5,32.2899,6.96845,5432412596779352430,146432
gcc-release,sqrt,min,524289,5000000,random,before,0,36.7624,49.7832,17049764280524147678,181440
gcc-release,sqrt,min,524289,5000000,random,after,0,15.9201,43.3323,17049764280524147678,116256
gcc-release,sqrt,min,524289,5000000,random,after,1,17.7229,45.211,17049764280524147678,116264
gcc-release,sqrt,min,524289,5000000,random,before,1,31.889,47.7548,17049764280524147678,181528
gcc-release,sqrt,min,524289,5000000,random,before,2,34.67,48.5129,17049764280524147678,181616
gcc-release,sqrt,min,524289,5000000,random,after,2,16.3766,50.3646,17049764280524147678,116276
gcc-release,sqrt,min,524289,5000000,random,after,3,16.8367,48.3101,17049764280524147678,116264
gcc-release,sqrt,min,524289,5000000,random,before,3,43.0382,51.2427,17049764280524147678,181616
gcc-release,sqrt,min,524289,5000000,random,before,4,30.8147,46.2937,17049764280524147678,181568
gcc-release,sqrt,min,524289,5000000,random,after,4,15.8958,46.8131,17049764280524147678,116080
gcc-release,sqrt,min,524289,5000000,random,after,5,15.845,52.9376,17049764280524147678,116172
gcc-release,sqrt,min,524289,5000000,random,before,5,33.005,49.2397,17049764280524147678,181584
gcc-release,sqrt,sum,524289,500000,random,before,0,30.754,6.34598,12014905189528964679,146452
gcc-release,sqrt,sum,524289,500000,random,after,0,14.6319,5.59365,12014905189528964679,80928
gcc-release,sqrt,sum,524289,500000,random,after,1,14.239,5.53878,12014905189528964679,80764
gcc-release,sqrt,sum,524289,500000,random,before,1,31.2452,6.01631,12014905189528964679,146284
gcc-release,sqrt,sum,524289,500000,random,before,2,29.4828,5.91198,12014905189528964679,146456
gcc-release,sqrt,sum,524289,500000,random,after,2,14.4548,5.57349,12014905189528964679,80860
gcc-release,sqrt,sum,524289,500000,random,after,3,14.3178,5.46122,12014905189528964679,80820
gcc-release,sqrt,sum,524289,500000,random,before,3,28.9184,6.35478,12014905189528964679,146444
gcc-release,sqrt,sum,524289,500000,random,before,4,31.2974,6.03926,12014905189528964679,146468
gcc-release,sqrt,sum,524289,500000,random,after,4,14.9168,5.85794,12014905189528964679,80832
gcc-release,sqrt,sum,524289,500000,random,after,5,14.7706,5.74373,12014905189528964679,80712
gcc-release,sqrt,sum,524289,500000,random,before,5,31.6972,6.75688,12014905189528964679,146432
gcc-release,sqrt,sum,524289,5000000,random,before,0,30.3441,47.3104,8252074154160008219,181600
gcc-release,sqrt,sum,524289,5000000,random,after,0,15.6285,50.8334,8252074154160008219,116260
gcc-release,sqrt,sum,524289,5000000,random,after,1,15.4549,42.9645,8252074154160008219,116228
gcc-release,sqrt,sum,524289,5000000,random,before,1,30.9998,42.5003,8252074154160008219,181584
gcc-release,sqrt,sum,524289,5000000,random,before,2,34.5067,49.7995,8252074154160008219,181620
gcc-release,sqrt,sum,524289,5000000,random,after,2,15.5326,42.3535,8252074154160008219,116200
gcc-release,sqrt,sum,524289,5000000,random,after,3,15.2565,39.7674,8252074154160008219,116216
gcc-release,sqrt,sum,524289,5000000,random,before,3,30.8227,37.5046,8252074154160008219,181608
gcc-release,sqrt,sum,524289,5000000,random,before,4,31.7818,39.4185,8252074154160008219,181608
gcc-release,sqrt,sum,524289,5000000,random,after,4,15.6895,41.982,8252074154160008219,116180
gcc-release,sqrt,sum,524289,5000000,random,after,5,14.6504,38.3998,8252074154160008219,116176
gcc-release,sqrt,sum,524289,5000000,random,before,5,30.0968,44.9742,8252074154160008219,181576
gcc-release,sqrt,affine,524289,500000,random,before,0,75.8041,11.4142,11860631975963514010,289804
gcc-release,sqrt,affine,524289,500000,random,after,0,26.9718,12.5602,11860631975963514010,158604
gcc-release,sqrt,affine,524289,500000,random,after,1,26.4537,11.7707,11860631975963514010,158600
gcc-release,sqrt,affine,524289,500000,random,before,1,58.5301,12.1896,11860631975963514010,289844
gcc-release,sqrt,affine,524289,500000,random,before,2,57.5927,11.3881,11860631975963514010,289800
gcc-release,sqrt,affine,524289,500000,random,after,2,28.1544,11.6419,11860631975963514010,158612
gcc-release,sqrt,affine,524289,500000,random,after,3,27.0555,10.327,11860631975963514010,158504
gcc-release,sqrt,affine,524289,500000,random,before,3,54.6155,10.3112,11860631975963514010,289744
gcc-release,sqrt,affine,524289,500000,random,before,4,55.5786,10.2904,11860631975963514010,289740
gcc-release,sqrt,affine,524289,500000,random,after,4,27.6935,10.5231,11860631975963514010,158628
gcc-release,sqrt,affine,524289,500000,random,after,5,26.6283,12.0433,11860631975963514010,158572
gcc-release,sqrt,affine,524289,500000,random,before,5,78.8431,13.6723,11860631975963514010,289840
gcc-release,sqrt,affine,524289,5000000,random,before,0,59.5252,95.551,14827884130078433710,324972
gcc-release,sqrt,affine,524289,5000000,random,after,0,28.8576,86.1853,14827884130078433710,193848
gcc-release,sqrt,affine,524289,5000000,random,after,1,27.1757,91.0183,14827884130078433710,193696
gcc-release,sqrt,affine,524289,5000000,random,before,1,59.0095,97.4957,14827884130078433710,324968
gcc-release,sqrt,affine,524289,5000000,random,before,2,60.4884,72.6969,14827884130078433710,324984
gcc-release,sqrt,affine,524289,5000000,random,after,2,25.5559,87.5927,14827884130078433710,193880
gcc-release,sqrt,affine,524289,5000000,random,after,3,28.9886,87.0454,14827884130078433710,193836
gcc-release,sqrt,affine,524289,5000000,random,before,3,54.2465,72.7254,14827884130078433710,324992
gcc-release,sqrt,affine,524289,5000000,random,before,4,56.0995,91.6571,14827884130078433710,324952
gcc-release,sqrt,affine,524289,5000000,random,after,4,29.2008,86.8552,14827884130078433710,193824
gcc-release,sqrt,affine,524289,5000000,random,after,5,28.2294,86.3483,14827884130078433710,193880
gcc-release,sqrt,affine,524289,5000000,random,before,5,85.2656,98.4401,14827884130078433710,324996
gcc-release,sqrt,matrix,524289,500000,random,before,0,175.307,19.5896,16028233840536679478,568404
gcc-release,sqrt,matrix,524289,500000,random,after,0,51.774,20.3027,16028233840536679478,306068
gcc-release,sqrt,matrix,524289,500000,random,after,1,49.351,17.7717,16028233840536679478,306036
gcc-release,sqrt,matrix,524289,500000,random,before,1,109.283,16.8903,16028233840536679478,568396
gcc-release,sqrt,matrix,524289,500000,random,before,2,108.132,17.9113,16028233840536679478,568424
gcc-release,sqrt,matrix,524289,500000,random,after,2,55.12,19.9201,16028233840536679478,306020
gcc-release,sqrt,matrix,524289,500000,random,after,3,55.8069,23.3176,16028233840536679478,306064
gcc-release,sqrt,matrix,524289,500000,random,before,3,107.329,18.2156,16028233840536679478,568432
gcc-release,sqrt,matrix,524289,500000,random,before,4,110.165,21.0678,16028233840536679478,568412
gcc-release,sqrt,matrix,524289,500000,random,after,4,52.0352,20.1431,16028233840536679478,306120
gcc-release,sqrt,matrix,524289,500000,random,after,5,51.6804,21.2741,16028233840536679478,306008
gcc-release,sqrt,matrix,524289,500000,random,before,5,127.347,18.3602,16028233840536679478,568424
