config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,sqrt,min,524289,500000,random,before,0,52.5948,7.98354,5432412596779352430,146408
gcc-release,sqrt,min,524289,500000,random,after,0,17.7134,9.09092,5432412596779352430,80848
gcc-release,sqrt,min,524289,500000,random,after,1,17.0447,7.5422,5432412596779352430,80868
gcc-release,sqrt,min,524289,500000,random,before,1,48.5708,7.13524,5432412596779352430,146412
gcc-release,sqrt,min,524289,500000,random,before,2,36.9431,8.10276,5432412596779352430,146372
gcc-release,sqrt,min,524289,500000,random,after,2,18.6701,8.5209,5432412596779352430,80704
gcc-release,sqrt,min,524289,500000,random,after,3,16.809,8.91148,5432412596779352430,80780
gcc-release,sqrt,min,524289,500000,random,before,3,35.3912,8.07031,5432412596779352430,146436
gcc-release,sqrt,min,524289,500000,random,before,4,35.9993,8.12404,5432412596779352430,146288
gcc-release,sqrt,min,524289,500000,random,after,4,17.6313,8.18547,5432412596779352430,80848
gcc-release,sqrt,min,524289,500000,random,after,5,16.9594,6.87884,5432412596779352430,80876
gcc-release,sqrt,min,524289,500000,random,before,5,35.1356,7.1079,5432412596779352430,146436
gcc-release,sqrt,min,524289,5000000,random,before,0,41.9943,48.9715,17049764280524147678,181576
gcc-release,sqrt,min,524289,5000000,random,after,0,17.6235,56.8703,17049764280524147678,116260
gcc-release,sqrt,min,524289,5000000,random,after,1,17.4097,58.4859,17049764280524147678,116172
gcc-release,sqrt,min,524289,5000000,random,before,1,35.0107,52.5097,17049764280524147678,181612
gcc-release,sqrt,min,524289,5000000,random,before,2,39.6321,87.2339,17049764280524147678,181508
gcc-release,sqrt,min,524289,5000000,random,after,2,16.4057,57.9449,17049764280524147678,116260
gcc-release,sqrt,min,524289,5000000,random,after,3,17.4136,57.5234,17049764280524147678,116076
gcc-release,sqrt,min,524289,5000000,random,before,3,36.3768,60.5749,17049764280524147678,181612
gcc-release,sqrt,min,524289,5000000,random,before,4,36.0266,68.6592,17049764280524147678,181620
gcc-release,sqrt,min,524289,5000000,random,after,4,17.4473,60.9041,17049764280524147678,116264
gcc-release,sqrt,min,524289,5000000,random,after,5,18.0011,62.9985,17049764280524147678,116228
gcc-release,sqrt,min,524289,5000000,random,before,5,35.2348,56.7034,17049764280524147678,181564
gcc-release,sqrt,sum,524289,500000,random,before,0,35.8578,7.51424,12014905189528964679,146464
gcc-release,sqrt,sum,524289,500000,random,after,0,16.5775,7.00909,12014905189528964679,80840
gcc-release,sqrt,sum,524289,500000,random,after,1,15.9446,6.43155,12014905189528964679,80836
gcc-release,sqrt,sum,524289,500000,random,before,1,33.4097,6.57773,12014905189528964679,146412
gcc-release,sqrt,sum,524289,500000,random,before,2,33.6623,7.9422,12014905189528964679,146452
gcc-release,sqrt,sum,524289,500000,random,after,2,17.5048,7.00932,12014905189528964679,80864
gcc-release,sqrt,sum,524289,500000,random,after,3,17.647,8.5347,12014905189528964679,80768
gcc-release,sqrt,sum,524289,500000,random,before,3,35.2255,7.90684,12014905189528964679,146380
gcc-release,sqrt,sum,524289,500000,random,before,4,34.081,6.92622,12014905189528964679,146284
gcc-release,sqrt,sum,524289,500000,random,after,4,17.4601,7.92356,12014905189528964679,80712
gcc-release,sqrt,sum,524289,500000,random,after,5,16.6956,8.57616,12014905189528964679,80868
gcc-release,sqrt,sum,524289,500000,random,before,5,33.2003,6.71143,12014905189528964679,146280
gcc-release,sqrt,sum,524289,5000000,random,before,0,31.952,46.9678,8252074154160008219,181580
gcc-release,sqrt,sum,524289,5000000,random,after,0,16.784,41.5801,8252074154160008219,116120
gcc-release,sqrt,sum,524289,5000000,random,after,1,15.5524,44.5414,8252074154160008219,116220
