structure,n,q,run,build_ms,query_ms,checksum
sqrt,65536,500000,0,2.01567,2.03751,544946019384497
dst,65536,500000,0,2.00004,3.14453,544946019384497
dst,65536,500000,1,1.56707,1.66534,544946019384497
sqrt,65536,500000,1,0.532853,1.72184,544946019384497
sqrt,65536,500000,2,0.471878,1.61532,544946019384497
dst,65536,500000,2,1.49947,2.62012,544946019384497
dst,65536,500000,3,1.48119,1.63199,544946019384497
sqrt,65536,500000,3,0.496252,1.69814,544946019384497
sqrt,65536,500000,4,0.513631,1.63932,544946019384497
dst,65536,500000,4,1.55035,2.49005,544946019384497
sqrt,65537,500000,0,4.12582,2.3519,545237024735991
dst,65537,500000,0,2.46843,2.0033,545237024735991
dst,65537,500000,1,1.58816,1.65298,545237024735991
sqrt,65537,500000,1,3.24634,2.03262,545237024735991
sqrt,65537,500000,2,3.94158,2.331,545237024735991
dst,65537,500000,2,2.49605,2.39252,545237024735991
dst,65537,500000,3,1.61555,1.78512,545237024735991
sqrt,65537,500000,3,3.12628,2.04268,545237024735991
sqrt,65537,500000,4,3.82216,2.16543,545237024735991
dst,65537,500000,4,2.57016,2.98778,545237024735991
sqrt,262144,500000,0,10.0953,4.62015,2185852967607414
dst,262144,500000,0,14.6399,4.43331,2185852967607414
dst,262144,500000,1,14.4862,4.86448,2185852967607414
sqrt,262144,500000,1,9.60555,4.79393,2185852967607414
sqrt,262144,500000,2,9.5195,4.77633,2185852967607414
dst,262144,500000,2,14.3909,4.38148,2185852967607414
dst,262144,500000,3,16.9478,5.50032,2185852967607414
sqrt,262144,500000,3,12.5394,4.80536,2185852967607414
sqrt,262144,500000,4,10.256,5.09746,2185852967607414
dst,262144,500000,4,21.5363,5.35496,2185852967607414
